name,uses_cleaned_llm
Luliford Cream,Luliford Cream is utilized for the treatment of fungal skin infections.
L-Trix Cream,L-Trix Cream is utilized for treating fungal skin infections.
Lacotab Syrup,Lacotab Syrup is used for managing epileptic seizures.
Lycomerve Capsule,Lycomerve Capsule is used for addressing nutritional deficiencies.
Liz-M Tablet SR,Liz-M Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Levesam Injection,Levesam Injection is utilized for managing epilepsy and seizure disorders.
Levokon-M Tablet,"Levokon-M Tablet is used for the treatment of symptoms such as sneezing and a runny nose associated with allergies, hay fever, and various allergic skin conditions."
Lupisulin M 50 40IU/ml Injection,Lupisulin M 50 40IU/ml Injection is used for the treatment of diabetes.
Ledovanc 500 Injection,Ledovanc 500 Injection is utilized for the treatment of severe bacterial infections.
Lupipara 650mg Tablet,Lupipara 650mg Tablet is utilized for providing pain relief and managing fever symptoms.
LTK 25mg Tablet,"LTK 25mg Tablet is used for managing hypertension (high blood pressure), preventing complications related to heart failure, reducing the risk of heart attacks, and decreasing the risk of strokes."
Lametec Kid Tablet DT,Lametec Kid Tablet DT is used for the management of epilepsy and bipolar disorder.
Luliz 1% Cream,Luliz 1% Cream is used for the treatment of fungal skin infections.
Lofatin Cream,Lofatin Cream is utilized for treating fungal skin infections.
Lotechek-LS Eye Drop,Lotechek-LS Eye Drop is utilized for alleviating redness and swelling in the eyes.
Lozapin 100mg Tablet,Lozapin 100mg Tablet is used for the treatment of Schizophrenia.
Liofen 40mg Capsule XL,Liofen 40mg Capsule XL is utilized for the purpose of muscle relaxation.
Lipophage 120 Capsule,Lipophage 120 Capsule is used for the management of obesity.
Libset Tablet,Libset Tablet is utilized for the treatment of breast cancer.
Losar-CH 12.5 Tablet,Losar-CH 12.5 Tablet is used for managing high blood pressure (Hypertension).
Levozen M Tablet,"Levozen M Tablet is used for the relief of symptoms such as sneezing and a runny nose caused by allergies, hay fever, and various allergic skin conditions."
Levomil 40 Capsule ER,Levomil 40 Capsule ER is used for the treatment of depression.
Lupigest 100 Capsule,Lupigest 100 Capsule is utilized for hormone replacement therapy as well as the management of female infertility.
Lefuma  20mg Tablet,Lefuma 20mg Tablet is utilized for the management of rheumatoid arthritis and psoriatic arthritis.
Labaneb Respules (2ml Each),Labaneb Respules are administered for the management of Chronic Obstructive Pulmonary Disease (COPD).
LCFEX-Mont Tablet,LCFEX-Mont Tablet is utilized for alleviating symptoms such as sneezing and a runny nose resulting from allergic reactions.
Liviz Tablet,Liviz Tablet is utilized for the treatment of liver diseases.
Lamifin -Forte Tablet,Lamifin-Forte Tablet is used for the treatment of various fungal infections.
Lumecare Advance Carmellose Soothing Eye Drop,Lumecare Advance Carmellose Soothing Eye Drops are designed for the relief of dry eye symptoms.
Losacar-A  Tablet,Losacar-A Tablet is used for the management of hypertension (high blood pressure).
Lamez OD 150 Tablet SR,"Lamez OD 150 Tablet SR is utilized for the management of epilepsy and seizures, as well as bipolar disorder."
Lobaset 10 Tablet,Lobaset 10 Tablet is utilized for the purpose of muscle relaxation.
Luliporus Cream,Luliporus Cream is utilized for the treatment of fungal skin infections.
Losartas 50 Tablet,"Losartan 50 Tablet is utilized for managing hypertension (high blood pressure), preventing heart failure, reducing the risk of heart attacks, and minimizing the occurrence of strokes."
Lmx Forte 500mg/125mg Tablet,Lmx Forte 500mg/125mg Tablet is used for the treatment of various bacterial infections.
LCD 275 Tablet,LCD 275 Tablet is utilized for the treatment of Parkinson's disease.
Lugonist Depot 3.75mg Injection,"Lugolist Depot 3.75mg Injection is used for the treatment of prostate cancer, endometriosis, uterine fibroids, and precocious puberty."
Lupidip-A Tablet,Lupidip-A Tablet is used for managing hypertension (high blood pressure).
Lufen Eye Drop,Lufen Eye Drop is utilized for the management of post-operative eye pain and inflammation.
Lcfex Tablet,"Lcfex Tablet is utilized for the relief of symptoms such as sneezing and a runny nose, often associated with allergies, and for managing various allergic conditions."
Luprorin 3.75mg Injection,"Luprorin 3.75mg Injection is utilized for the treatment of prostate cancer, endometriosis, uterine fibroids, and precocious puberty."
Leubine Cream,Leubine Cream is utilized for treating fungal skin infections.
Laformin GV 2mg/500mg/0.2mg Tablet ER,Laformin GV 2mg/500mg/0.2mg Tablet ER is used for the management of Type 2 diabetes mellitus.
Lulirx Cream,Lulirx Cream is used for the treatment of fungal skin infections.
Lircetam 500 Tablet,Lircetam 500 Tablet is utilized for the management of epilepsy and seizure disorders.
Leveron 500 Tablet,Leveron 500 Tablet is utilized for the management of epileptic seizures.
Lamifin 125 DT Tablet,Lamifin 125 DT Tablet is used for treating various fungal infections.
Levotiz Tablet,Levotiz Tablet is used to manage various allergic conditions.
Leuprolide 3.75mg Depot One Combipack,"Leuprolide 3.75mg Depot One Combipack is used for the treatment of prostate cancer, endometriosis, uterine fibroids, and precocious puberty."
Levenue 750 Tablet,Levenue 750 Tablet is used for the management of epileptic seizures.
Levotiz-M Tablet,"The Levotiz-M Tablet is utilized for the relief of symptoms such as sneezing and a runny nose associated with allergies, hay fever, and various allergic skin conditions."
Laformin-G 2 Tablet PR,Laformin-G 2 Tablet PR is utilized for managing Type 2 diabetes mellitus.
Lurastar 40mg Tablet,Lurastar 40mg Tablet is utilized for the treatment of Schizophrenia.
Logispor 200 Capsule,Logispor 200 Capsule is utilized for the treatment of fungal infections.
Luporal Capsule,Luporal Capsule is utilized for the treatment of cancer in the colon and rectum.
Laformin-G 1 Tablet PR,Laformin-G 1 Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Lilituf Cream,Lilituf Cream is used for treating fungal skin infections.
Lifotonin Tablet,Lifotonin Tablet is utilized for the management of insomnia and jet lag symptoms.
Levenue 250 Tablet,Levenue 250 Tablet is utilized for the management of epilepsy and seizure disorders.
Lactopil Oral Solution,Lactopil Oral Solution is utilized for the treatment of constipation and hepatic encephalopathy.
Letsure 2.5 Tablet,Letsure 2.5 Tablet is utilized for the treatment of breast cancer as well as infertility resulting from anovulation.
Lipril-H Tablet,Lipril-H Tablet is used for managing hypertension (high blood pressure).
Lulimac XL Lotion,Lulimac XL Lotion is used for treating fungal skin infections.
Lastuss-D Syrup,Lastuss-D Syrup is used for managing dry cough.
Levetas 500mg Tablet,Levetas 500mg Tablet is used for managing epileptic seizures.
Lignoace Oral Topical Solution,Lignoce Oral Topical Solution is used for the treatment of inflammation in the gums and provides local anesthesia.
Lcfex 180 Tablet,"Lcfex 180 Tablet is used for the relief of symptoms associated with sneezing and a runny nose, typically caused by allergies, as well as for management of various allergic conditions."
Lovax OD 600 Tablet ER,Lovax OD 600 Tablet ER is utilized for managing epilepsy and seizure disorders.
Leukocel 500mg Capsule,"Leukocel 500mg Capsule is used for the treatment of head and neck cancer, as well as sickle cell anemia."
Lacotide 150mg Tablet,Lacotide 150mg Tablet is utilized for managing epilepsy and seizure disorders.
Levigress Syrup,Levigress Syrup is utilized for managing epilepsy or seizure disorders.
Levilex 250 Tablet,Levilex 250 Tablet is utilized for managing epilepsy and seizure disorders.
Lumycan Cream,Lumycan Cream is utilized for the treatment of fungal skin infections.
Luliclin Cream,Luliclin Cream is used for the treatment of fungal skin infections.
Lupimon FX 10mg/120mg Tablet,Lupimon FX 10mg/120mg Tablet is used for the alleviation of sneezing and a runny nose associated with allergies.
Lumycan Cream,Lumycan Cream is utilized for treating fungal skin infections.
Lurace 40mg Tablet,Lurace 40mg Tablet is used for the treatment of Schizophrenia.
Lamitor OD 25 Tablet SR,"Lamotrigine OD 25 Tablet SR is utilized for the management of epilepsy and seizures, as well as in the treatment of bipolar disorder."
LzHH Cream,LzHH Cream is used for the treatment of fungal skin infections.
Lulirx Spray,Lulirx Spray is utilized for treating fungal skin infections.
Lenalid 5 Capsule,Lenalid 5 Capsule is utilized for the treatment of multiple myeloma and myelodysplastic syndrome.
Laxitas Laxative Vanilla Sugar Free,Laxitas Laxative Vanilla Sugar Free is used for the relief of constipation.
Lurata 80 Tablet,Lurata 80 Tablet is used for the treatment of Schizophrenia.
Lamez OD 25 Tablet SR,Lamez OD 25 Tablet SR is utilized for managing epileptic seizures and bipolar disorder.
Lamepil 50 Tablet,Lamepil 50 Tablet is utilized for the management of epileptic seizures as well as bipolar disorder.
Lithic 400mg Tablet SR,Lithic 400mg Tablet SR is utilized for the management of conditions such as mania and bipolar disorder.
Lioresal 25 Tablet,Lioresal 25 Tablet is utilized for the purpose of muscle relaxation.
Lutica Cream,Lutica Cream is utilized for the treatment of skin conditions that present symptoms such as inflammation and itching.
LCZ-Mont Suspension,"LCZ-Mont Suspension is used for the relief of symptoms associated with allergies such as sneezing, runny nose, and hay fever, as well as for the treatment of various allergic skin conditions."
Lulibrut Lotion,Lulibrut Lotion is utilized for the treatment of fungal skin infections.
Lax 3 Oral Suspension Sugar Free,Lax 3 Oral Suspension Sugar Free is utilized for managing constipation issues.
Lulinext Cream,Lulinext Cream is utilized for the treatment of fungal skin infections.
Lapcort 1% Cream,"Lapcort 1% Cream is primarily used for managing various skin disorders such as eczema and severe allergic reactions, but it may also be applied for other allergic conditions. However, the use in cancer treatment or eye disorders should be confirmed with a healthcare provider due to its specific indications in these areas."
Liponorm 5mg Tablet,Liponorm 5mg Tablet is used for managing high cholesterol levels and preventing heart attacks.
Lacsyp  Syrup,Lacsyp Syrup is used for alleviating constipation.
Levtam 500 Tablet,Levtam 500 Tablet is used for the management of epilepsy and seizure disorders.
Luliclinz Cream,Luliclinz Cream is utilized for the treatment of fungal skin infections.
Lupitros-T Eye Drop,Lupitros-T Eye Drop is utilized for the management of glaucoma and ocular hypertension.
Loram  2.5 Tablet,Lorazepam 2.5 Tablet is used for the treatment of hypertension (high blood pressure).
Levroxa 250mg Tablet,Levroxa 250mg Tablet is used for the management of epileptic seizures.
Lezyncet A Tablet,Lezyncet A Tablet is utilized for the relief of persistent coughs.
Lanfil DX 60 Capsule MR,"Lanfil DX 60 Capsule MR is used for the management of heartburn, gastroesophageal reflux disease (GERD), and peptic ulcer disease."
Losartas 25 Tablet,"Losartan 25 Tablet is used for the management of hypertension (high blood pressure), heart failure, prevention of heart attacks, and reduction of stroke risk."
Lulibet Cream,Lulibet Cream is utilized for the treatment of fungal skin infections.
Lulirx Spray,Lulirx Spray is utilized for the treatment of fungal skin infections.
Lulinext Lotion Spray,Lulinext Lotion Spray is used for the treatment of fungal skin infections.
Lulihalt Cream,Lulihalt Cream is utilized for treating fungal skin infections.
Leptomate 100 Tablet,"Leptomate 100 Tablet is utilized for the management of epilepsy, seizures, migraines, and Lennox-Gastaut syndrome."
Levialfa 500 Tablet,Levialfa 500 Tablet is used for the management of epilepsy and seizure disorders.
Lulilok Soap,Lulilok Soap is utilized for treating fungal skin infections.
Lozapin 50mg Tablet,Lozapin 50mg Tablet is utilized for the treatment of Schizophrenia.
Laxiwal Solution,Laxiwal Solution is utilized for the treatment of constipation and hepatic encephalopathy.
LT-Mac Cream,LT-Mac Cream is utilized for the treatment of fungal skin infections.
Losatan 50mg Tablet,"Losartan 50mg Tablet is used for the management of hypertension (high blood pressure), heart failure, prevention of heart attacks, and stroke."
Ludura Cream,Ludura Cream is utilized for treating fungal skin infections.
